car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21,1498,74.96,7,850000
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82,5,550000
Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94,5,625000
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68,5,350000
Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74,5,560000
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63,5,125000
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120,7,1150000
Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121,7,990000
Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25,1493,113.42,5,551000
Mahindra XUV500,Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24,1120,70,5,350000
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24,1186,73.97,5,545000
Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18,1198,86.7,5,400000
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14,1061,64,5,155000
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74,5,545000
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75,5,225000
Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84,5,400000
Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120,7,1050000
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74,5,450000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186,5,775000
Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90,5,270000
Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70,5,130000
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23,1498,98.96,5,685000
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67,5,330000
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85,5,435000
Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22,1582,126.2,5,1250000
Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74,5,415000
Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120,7,1150000
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,350000
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120,7,1125000
BMW 5,BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67,7,480000
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22,1197,81.8,5,575000
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23,1498,98.96,5,925000
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82,5,400000
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74,5,600000
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120,8,550000
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99,5,585000
Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74,5,455000
Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
Ford Endeavour,Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197,7,2900000
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77,5,375000
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67,7,400000
Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
BMW 3,BMW,3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190,5,2090000
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74,5,495000
Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82,5,475000
Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84,5,530000
Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17,1497,118,5,335000
Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20,1399,68,5,300000
Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74,5,390000
Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63,7,260000
Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69,5,395000
Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120,8,550000
Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22,1197,81.8,5,650000
Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74,5,375000
Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138,5,1300000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63,7,150000
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23,1498,98.96,5,890000
Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14,2179,138.1,7,775000
Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20,1399,68.05,5,185000
Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
Maruti Swift,Maruti,Swift,4,60000,Individual,Petrol,Manual,22,1197,81.8,5,445000
Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14,2179,138.1,7,705000
Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
Honda City,Honda,City,7,63000,Dealer,Diesel,Manual,26,1498,98.6,5,475000
Toyota Fortuner,Toyota,Fortuner,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
Honda City,Honda,City,10,55000,Dealer,Petrol,Manual,16.9,1497,100,5,350000
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
Renault KWID,Renault,KWID,4,17000,Individual,Petrol,Manual,23.01,999,67,5,360000
Maruti Alto,Maruti,Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
Datsun GO,Datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67,7,320000
Hyundai Grand,Hyundai,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82,5,370000
Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
Honda City,Honda,City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
Maruti Wagon R,Maruti,Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
Maruti Ciaz,Maruti,Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
Maruti Alto,Maruti,Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
Hyundai i20,Hyundai,i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
Mahindra Scorpio,Mahindra,Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120,7,1060000
Maruti Alto,Maruti,Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
Toyota Fortuner,Toyota,Fortuner,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
Hyundai Santro,Hyundai,Santro,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
Mahindra Scorpio,Mahindra,Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115,5,280000
Audi A4,Audi,A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,1851000
Honda City,Honda,City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
Maruti Swift Dzire,Maruti,Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74,5,530000
Mahindra Thar,Mahindra,Thar,3,25000,Individual,Diesel,Manual,16.55,2498,105,6,870000
Renault KWID,Renault,KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
Tata Tiago,Tata,Tiago,4,53000,Individual,Diesel,Manual,27.28,1047,69,5,370000
Maruti Swift,Maruti,Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
Renault KWID,Renault,KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67,5,350000
Ford Ecosport,Ford,Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
Ford Aspire,Ford,Aspire,6,42000,Individual,Diesel,Manual,25.83,1498,99,5,390000
Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120,7,920000
Mahindra XUV500,Mahindra,XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140,7,550000
Hyundai Verna,Hyundai,Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
Mahindra XUV500,Mahindra,XUV500,4,50000,Dealer,Diesel,Automatic,16,2179,140,7,1250000
Maruti Alto,Maruti,Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
Honda City,Honda,City,3,12000,Individual,Petrol,Automatic,18,1497,117.6,5,960000
Maruti Vitara,Maruti,Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
Volkswagen Polo,Volkswagen,Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
Tata Hexa,Tata,Hexa,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
Ford Figo,Ford,Figo,10,160800,Individual,Diesel,Manual,20,1399,68,5,250000
Hyundai Verna,Hyundai,Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
Ford Ecosport,Ford,Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
Hyundai Verna,Hyundai,Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
Hyundai i20,Hyundai,i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
Toyota Innova,Toyota,Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
Hyundai Grand,Hyundai,Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82,5,470000
Volkswagen Polo,Volkswagen,Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
Hyundai i20,Hyundai,i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
Maruti Wagon R,Maruti,Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
Renault Duster,Renault,Duster,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
Honda City,Honda,City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
Renault Duster,Renault,Duster,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
Maruti Swift,Maruti,Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
Land Rover Rover,Land Rover,Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177,5,2890000
Hyundai i10,Hyundai,i10,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
Hyundai Venue,Hyundai,Venue,2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,985000
Maruti Swift Dzire,Maruti,Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74,5,500000
Tata Tiago,Tata,Tiago,4,24800,Individual,Petrol,Manual,23.84,1199,84,5,335000
Maruti Alto,Maruti,Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
Honda Jazz,Honda,Jazz,3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,740000
Maruti Swift,Maruti,Swift,8,34553,Dealer,Petrol,Manual,22,1197,81.8,5,375000
Maruti Vitara,Maruti,Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
Volkswagen Polo,Volkswagen,Polo,11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,173000
Maruti Vitara,Maruti,Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
Mahindra KUV,Mahindra,KUV,5,70000,Individual,Diesel,Manual,25.32,1198,77,6,310000
Mahindra Scorpio,Mahindra,Scorpio,4,120000,Individual,Diesel,Manual,15.4,1997,120,7,850000
Hyundai i20,Hyundai,i20,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
Maruti Swift Dzire,Maruti,Swift Dzire,7,120000,Individual,Diesel,Manual,23.4,1248,74,5,450000
Hyundai Creta,Hyundai,Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Individual,Diesel,Manual,15.4,1997,120,7,1080000
Honda City,Honda,City,7,66100,Dealer,Diesel,Manual,26,1498,98.6,5,530000
Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
Mahindra Scorpio,Mahindra,Scorpio,4,42000,Dealer,Diesel,Manual,15.4,1997,120,7,1025000
Hyundai i20,Hyundai,i20,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
Hyundai i10,Hyundai,i10,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
Maruti Baleno,Maruti,Baleno,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
Maruti Alto,Maruti,Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
Maruti Swift Dzire,Maruti,Swift Dzire,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
